year,hour,mean,lb,ub
1998,0,49.52106195,48.46718426,50.57493963
1999,0,49.42921013,48.29772416,50.56069611
2000,0,54.48030496,53.23879115,55.72181877
2001,0,58.95687171,57.82796309,60.08578033
2002,0,58.18305609,57.04495415,59.32115803
2003,0,58.62126372,57.28976792,59.95275951
2004,0,63.19283122,61.5847812,64.80088123
2005,0,71.57714762,69.80216188,73.35213337
2006,0,65.43640272,64.06787761,66.80492784
2007,0,62.53753351,61.40537388,63.66969315
2008,0,57.38738255,56.28963033,58.48513477
2009,0,47.81571146,47.00690583,48.6245171
2010,0,52.16502151,51.31083297,53.01921005
2011,0,46.88205841,46.03583421,47.72828262
2012,0,41.21590023,40.47249632,41.95930415
2013,0,42.6074514,41.87375193,43.34115088
2014,0,47.33323407,46.38871002,48.27775811
2015,0,38.62788069,37.80964173,39.44611965
2016,0,39.93954519,39.18617285,40.69291752
1998,1,46.66158753,45.6376585,47.68551655
1999,1,45.49700823,44.44726235,46.5467541
2000,1,50.70797585,49.47670364,51.93924806
2001,1,55.84302819,54.79015594,56.89590043
2002,1,54.85178988,53.81383362,55.88974615
2003,1,56.65783497,55.36893999,57.94672996
2004,1,58.4118705,56.84794296,59.97579805
2005,1,67.52850603,65.88848538,69.16852669
2006,1,61.76152738,60.4903667,63.03268806
2007,1,60.85120173,59.72801287,61.97439058
2008,1,54.30818966,53.27890653,55.33747278
2009,1,45.02869866,44.23697192,45.82042541
2010,1,48.4324187,47.62865995,49.23617745
2011,1,42.36449131,41.55523737,43.17374525
2012,1,38.48072321,37.74200773,39.2194387
2013,1,39.98318416,39.29396948,40.67239884
2014,1,43.87767857,42.98362409,44.77173306
2015,1,35.66248428,34.93412329,36.39084526
2016,1,36.48292828,35.78332524,37.18253131
1998,2,44.49787234,43.51639062,45.47935406
1999,2,42.63670412,41.66114091,43.61226733
2000,2,47.39445153,46.27216009,48.51674297
2001,2,53.57045585,52.55603335,54.58487836
2002,2,52.53023889,51.55399631,53.50648146
2003,2,53.55017039,52.38236761,54.71797317
2004,2,55.48783784,54.01652205,56.95915363
2005,2,65.52846219,63.92996575,67.12695864
2006,2,59.77906137,58.54242698,61.01569577
2007,2,58.51930867,57.46502865,59.57358868
2008,2,51.38842305,50.39677155,52.38007454
2009,2,41.89980208,41.14791483,42.65168933
2010,2,45.7472443,44.98753243,46.50695616
2011,2,38.9223356,38.21933294,39.62533826
2012,2,35.98668797,35.31191239,36.66146355
2013,2,37.39613921,36.73998459,38.05229382
2014,2,40.19230769,39.37197619,41.01263919
2015,2,33.07992448,32.42205473,33.73779423
2016,2,33.63946042,33.01248247,34.26643837
1998,3,44.14026989,43.16795688,45.1125829
1999,3,41.64591148,40.66831265,42.6235103
2000,3,45.31525207,44.29683103,46.33367311
2001,3,51.80142138,50.83922529,52.76361747
2002,3,52.5399916,51.54895818,53.53102502
2003,3,52.73840935,51.57702441,53.89979428
2004,3,55.75439387,54.20762541,57.30116233
2005,3,64.36567797,62.77728377,65.95407216
2006,3,58.94597534,57.75593337,60.13601731
2007,3,58.68431053,57.58940793,59.77921314
2008,3,50.48720044,49.57142867,51.4029722
2009,3,41.03174603,40.30964226,41.75384981
2010,3,44.38961039,43.67156926,45.10765152
2011,3,37.48509334,36.78729785,38.18288883
2012,3,35.10959636,34.46926411,35.74992862
2013,3,36.45350734,35.83275359,37.0742611
2014,3,39.3353222,38.53137636,40.13926803
2015,3,31.61153483,30.97639165,32.246678
2016,3,32.28702222,31.68949987,32.88454457
1998,4,43.17542614,42.24624251,44.10460977
1999,4,40.16199027,39.28314871,41.04083183
2000,4,43.66208,42.74932026,44.57483974
2001,4,51.37985361,50.40426168,52.35544554
2002,4,52.76459181,51.75462039,53.77456323
2003,4,54.19688331,52.97492914,55.41883749
2004,4,56.63685637,55.07311196,58.20060078
2005,4,64.64048719,63.05109764,66.22987674
