group;axis;value;;
1998;0;4.952.106.195;;
1999;0;4.942.921.013;;
2000;0;5.448.030.496;;
2001;0;5.895.687.171;;
2002;0;5.818.305.609;;
2003;0;5.862.126.372;;
2004;0;6.319.283.122;;
2005;0;7.157.714.762;;
2006;0;6.543.640.272;;
2007;0;6.253.753.351;;
2008;0;5.738.738.255;;
2009;0;4.781.571.146;;
2010;0;5.216.502.151;;
2011;0;4.688.205.841;;
2012;0;4.121.590.023;;
2013;0;426.074.514;;
2014;0;4.733.323.407;;
2015;0;3.862.788.069;;
2016;0;3.993.954.519;;
1998;1;4.666.158.753;;
1999;1;4.549.700.823;;
2000;1;5.070.797.585;;
2001;1;5.584.302.819;;
2002;1;5.485.178.988;;
2003;1;5.665.783.497;;
2004;1;584.118.705;;
2005;1;6.752.850.603;;
2006;1;6.176.152.738;;
2007;1;6.085.120.173;;
2008;1;5.430.818.966;;
2009;1;4.502.869.866;;
2010;1;484.324.187;;
2011;1;4.236.449.131;;
2012;1;3.848.072.321;;
2013;1;3.998.318.416;;
2014;1;4.387.767.857;;
2015;1;3.566.248.428;;
2016;1;3.648.292.828;;
1998;2;4.449.787.234;;
1999;2;4.263.670.412;;
2000;2;4.739.445.153;;
2001;2;5.357.045.585;;
2002;2;5.253.023.889;;
2003;2;5.355.017.039;;
2004;2;5.548.783.784;;
2005;2;6.552.846.219;;
2006;2;5.977.906.137;;
2007;2;5.851.930.867;;
2008;2;5.138.842.305;;
2009;2;4.189.980.208;;
2010;2;457.472.443;;
2011;2;389.223.356;;
2012;2;3.598.668.797;;
2013;2;3.739.613.921;;
2014;2;4.019.230.769;;
2015;2;3.307.992.448;;
2016;2;3.363.946.042;;
1998;3;4.414.026.989;;
1999;3;4.164.591.148;;
2000;3;4.531.525.207;;
2001;3;5.180.142.138;;
2002;3;525.399.916;;
2003;3;5.273.840.935;;
2004;3;5.575.439.387;;
2005;3;6.436.567.797;;
2006;3;5.894.597.534;;
2007;3;5.868.431.053;;
2008;3;5.048.720.044;;
2009;3;4.103.174.603;;
2010;3;4.438.961.039;;
2011;3;3.748.509.334;;
2012;3;3.510.959.636;;
2013;3;3.645.350.734;;
2014;3;393.353.222;;
2015;3;3.161.153.483;;
2016;3;3.228.702.222;;
1998;4;4.317.542.614;;
1999;4;4.016.199.027;;
2000;4;4.366.208;;
2001;4;5.137.985.361;;
2002;4;5.276.459.181;;
2003;4;5.419.688.331;;
2004;4;5.663.685.637;;
2005;4;6.464.048.719;;
2006;4;5.926.441.785;;
2007;4;6.022.021.364;;
2008;4;5.207.908.232;;
2009;4;4.201.778.656;;
2010;4;4.495.012.723;;
2011;4;3.853.140.634;;
2012;4;3.623.325.327;;
2013;4;3.811.735.808;;
2014;4;4.069.742.361;;
2015;4;3.202.674.455;;
2016;4;3.366.688.466;;
1998;5;4.396.473.103;;
1999;5;4.152.803.181;;
2000;5;4.361.082.474;;
2001;5;5.095.882.367;;
2002;5;5.563.694.383;;
2003;5;5.701.043.997;;
2004;5;6.029.749.431;;
2005;5;6.917.068.019;;
2006;5;6.545.794.054;;
2007;5;653.125;;
2008;5;5.838.412.017;;
2009;5;4.769.320.437;;
2010;5;499.221.374;;
2011;5;4.446.297.327;;
2012;5;409.296.732;;
2013;5;4.278.337.875;;
2014;5;4.651.344.889;;
2015;5;3.558.352.237;;
2016;5;3.972.096.343;;
1998;6;4.682.503.556;;
1999;6;4.352.516.905;;
2000;6;4.667.853.674;;
2001;6;5.433.659.889;;
2002;6;6.830.750.897;;
2003;6;7.014.102.564;;
2004;6;759.037.294;;
2005;6;8.627.257.867;;
2006;6;8.307.621.083;;
2007;6;8.166.442.592;;
2008;6;7.638.626.609;;
2009;6;6.371.876.543;;
2010;6;6.526.937.738;;
2011;6;5.971.575.153;;
2012;6;5.519.989.548;;
2013;6;5.668.960.827;;
2014;6;6.264.760.479;;
2015;6;4.452.994.332;;
2016;6;530.876.859;;
1998;7;5.678.245.364;;
1999;7;5.471.254.289;;
2000;7;5.920.619.555;;
2001;7;6.740.739.173;;
2002;7;9.648.563.291;;
2003;7;9.839.893.415;;
2004;7;1.013.751.069;;
2005;7;1.104.455.014;;
2006;7;1.037.951.426;;
2007;7;1.037.191.192;;
2008;7;1.004.048.833;;
2009;7;8.573.675.087;;
2010;7;8.609.685.663;;
2011;7;7.787.898.973;;
2012;7;722.970.271;;
2013;7;7.363.212.435;;
2014;7;7.835.470.085;;
2015;7;5.846.809.584;;
2016;7;661.568.873;;
1998;8;7.863.247.863;;
1999;8;7.485.756.787;;
2000;8;8.548.659.128;;
2001;8;9.412.930.414;;
2002;8;9.675.158.876;;
2003;8;9.483.443.465;;
2004;8;9.939.224.138;;
2005;8;1.122.895.892;;
2006;8;1.033.758.583;;
2007;8;1.021.863.524;;
2008;8;9.871.835.528;;
2009;8;8.340.681.313;;
2010;8;8.927.532.534;;
2011;8;7.627.628.294;;
2012;8;7.172.884.919;;
2013;8;7.240.734.694;;
2014;8;75.280.388;;
2015;8;6.238.777.707;;
2016;8;6.430.761.678;;
1998;9;8.571.845.005;;
1999;9;8.094.641.537;;
2000;9;8.841.731.266;;
2001;9;9.650.449.427;;
2002;9;8.550.013.812;;
2003;9;8.075.734.214;;
2004;9;8.856.113.256;;
2005;9;9.977.879.633;;
2006;9;9.049.198.432;;
2007;9;898.554.548;;
2008;9;8.493.528.297;;
2009;9;724.560.836;;
2010;9;8.041.003.327;;
2011;9;6.776.970.203;;
2012;9;6.263.789.474;;
2013;9;6.147.185.205;;
2014;9;6.596.962.406;;
2015;9;5.462.304.774;;
2016;9;5.726.358.227;;
1998;10;8.747.744.227;;
1999;10;8.013.503.515;;
2000;10;7.974.692.557;;
2001;10;8.476.041.717;;
2002;10;7.286.485.237;;
2003;10;6.823.832.648;;
2004;10;7.593.376.623;;
2005;10;863.661.859;;
2006;10;7.883.925.368;;
2007;10;7.588.943.623;;
2008;10;690.435.022;;
2009;10;5.865.467.266;;
2010;10;6.619.136.912;;
2011;10;5.615.272.727;;
2012;10;5.145.156.167;;
2013;10;5.004.993.179;;
2014;10;5.428.992.481;;
2015;10;4.576.428.117;;
2016;10;480.402.512;;
1998;11;7.866.524.369;;
1999;11;7.310.374.213;;
2000;11;682.204.597;;
2001;11;7.086.272.883;;
2002;11;6.536.937.744;;
2003;11;6.144.996.209;;
2004;11;6.640.035.746;;
2005;11;7.770.713.998;;
2006;11;7.250.214.439;;
2007;11;6.910.073.912;;
2008;11;6.387.238.148;;
2009;11;5.444.707.661;;
2010;11;5.822.256.569;;
2011;11;5.208.123.249;;
2012;11;4.744.022.169;;
2013;11;4.617.021.858;;
2014;11;5.055.100.813;;
2015;11;4.082.665.816;;
2016;11;4.240.503.145;;
1998;12;6.798.258.706;;
1999;12;6.363.019.288;;
2000;12;5.970.502.901;;
2001;12;6.240.695.716;;
2002;12;6.245.252.982;;
2003;12;5.919.502.075;;
2004;12;6.165.082.186;;
2005;12;7.377.991.803;;
2006;12;7.192.105.263;;
2007;12;667.993.448;;
2008;12;623.169.863;;
2009;12;524.462.664;;
2010;12;5.424.465.068;;
2011;12;4.977.263.807;;
2012;12;4.462.635.046;;
2013;12;4.509.170.068;;
2014;12;4.846.987.952;;
2015;12;4.057.141.491;;
2016;12;4.119.328.336;;
1998;13;6.121.241.135;;
1999;13;567.330.855;;
2000;13;548.730.261;;
2001;13;5.935.526.827;;
2002;13;6.166.328.642;;
2003;13;5.842.399.404;;
2004;13;6.005.887.561;;
2005;13;7.271.358.629;;
2006;13;7.199.787.611;;
2007;13;6.747.238.766;;
2008;13;6.314.215.553;;
2009;13;5.274.351.875;;
2010;13;538.596.401;;
2011;13;4.911.381.432;;
2012;13;4.451.389.617;;
2013;13;4.545.210.728;;
2014;13;4.977.463.942;;
2015;13;3.954.412.141;;
2016;13;4.171.951.074;;
1998;14;5.764.270.538;;
1999;14;5.455.592.716;;
2000;14;5.245.154.044;;
2001;14;5.776.404.143;;
2002;14;624.227.822;;
2003;14;5.902.702.703;;
2004;14;5.986.413.281;;
2005;14;7.154.398.054;;
2006;14;7.100.494.525;;
2007;14;6.756.546.336;;
2008;14;6.315.047.361;;
